"SEQN","Gender_discrete","Age_continuous","Race_discrete","Education_discrete","WTINT2YR_continuous","WTMEC2YR_continuous","SDMVPSU_continuous","SDMVSTRA_continuous"
86156,"Female",61,"Other Hispanic","Less than 9th grade",7080.764712,6779.995423,1,119
86157,"Male",80,"Non-Hispanic White","Some college or AA degree",34769.239129,37779.516659,1,130
86158,"Female",45,"Non-Hispanic White","High school graduate/GED or equivalent",33122.636459,32766.099938,2,130
86159,"Female",20,"Other Hispanic","Some college or AA degree",18693.955973,18981.572747,1,119
86160,"Female",29,"Other Race - Including Multi-Racial","College graduate or above",20452.841656,22313.842263,2,133
86161,"Female",2,"Non-Hispanic Black",NA,6648.009167,7322.02682,1,119
86162,"Female",12,"Mexican American",NA,15547.607223,15625.347494,1,120
86163,"Female",73,"Non-Hispanic White","College graduate or above",110352.217283,114244.27164,2,122
86164,"Female",5,"Non-Hispanic White",NA,41300.938766,41572.32844,1,130
86165,"Male",65,"Mexican American","Less than 9th grade",8083.00136,8295.484674,1,120
86166,"Female",13,"Non-Hispanic Black",NA,15852.64401,15490.242709,2,131
86167,"Female",36,"Mexican American","Some college or AA degree",18047.798413,19680.86701,1,133
86168,"Male",80,"Non-Hispanic White","Some college or AA degree",45307.376885,48417.341109,1,130
86169,"Female",46,"Other Race - Including Multi-Racial","College graduate or above",25700.663939,26104.67954,2,120
86170,"Female",10,"Non-Hispanic White",NA,31335.676357,30835.289884,2,125
86171,"Female",7,"Mexican American",NA,19126.568524,19082.530134,1,129
86172,"Female",33,"Non-Hispanic White","Less than 9th grade",68588.243841,70481.879606,2,123
86173,"Male",31,"Non-Hispanic White","Some college or AA degree",39116.887434,39930.324387,2,121
86174,"Female",16,"Non-Hispanic White",NA,49281.928654,51687.092029,1,123
86175,"Male",33,"Other Race - Including Multi-Racial","College graduate or above",20459.12059,20571.890041,1,120
86176,"Male",33,"Mexican American","Less than 9th grade",24494.468888,24627.118808,1,120
86177,"Female",38,"Non-Hispanic White","College graduate or above",114675.935002,117841.994369,1,122
86178,"Male",69,"Non-Hispanic Black","Less than 9th grade",10948.098506,13480.72066,2,126
86179,"Female",11,"Other Race - Including Multi-Racial",NA,11816.752693,12037.395753,2,124
86180,"Female",15,"Non-Hispanic White",NA,55558.873798,64202.395615,2,126
86181,"Female",42,"Non-Hispanic White","College graduate or above",146711.103575,150271.216063,1,129
86182,"Male",54,"Mexican American","High school graduate/GED or equivalent",20713.196653,20633.304348,2,121
86183,"Male",46,"Non-Hispanic White","High school graduate/GED or equivalent",26110.121451,25982.665885,2,131
86184,"Female",18,"Other Hispanic",NA,14068.633773,13978.07725,1,123
86185,"Male",53,"Non-Hispanic White","High school graduate/GED or equivalent",143022.683507,148630.266901,2,123
86186,"Female",55,"Other Hispanic","Some college or AA degree",13915.032264,0,1,124
86187,"Male",4,"Non-Hispanic White",NA,26536.078822,30527.540469,2,132
86188,"Female",30,"Non-Hispanic Black","College graduate or above",32773.066707,31757.039093,2,128
86189,"Female",28,"Non-Hispanic White","High school graduate/GED or equivalent",66562.669128,67212.062587,2,132
86190,"Female",54,"Non-Hispanic Black","Some college or AA degree",30903.149414,30969.500152,1,132
86191,"Female",29,"Non-Hispanic Black","College graduate or above",26774.129986,27046.920272,2,131
86192,"Female",59,"Non-Hispanic Black","High school graduate/GED or equivalent",17066.100402,17102.742245,2,119
86193,"Female",9,"Non-Hispanic White",NA,42974.325231,42185.621597,1,122
86194,"Male",80,"Non-Hispanic White","High school graduate/GED or equivalent",51535.885459,60516.278362,2,123
86195,"Female",61,"Other Hispanic","High school graduate/GED or equivalent",9215.106978,8948.245099,2,122
86196,"Female",55,"Non-Hispanic White","Some college or AA degree",37414.506446,38620.794257,1,122
86197,"Male",62,"Other Hispanic","9-11th grade (Includes 12th grade with no diploma)",7921.486383,9698.654238,1,129
86198,"Female",8,"Mexican American",NA,9793.625027,9802.868343,1,121
86199,"Male",3,"Other Race - Including Multi-Racial",NA,10625.930708,11835.864313,2,132
86200,"Female",48,"Other Race - Including Multi-Racial","Less than 9th grade",16034.843442,16069.27112,2,119
86201,"Female",80,"Non-Hispanic White","Some college or AA degree",41989.510041,43886.692375,2,124
86202,"Male",8,"Non-Hispanic White",NA,34604.434802,34800.089787,2,127
86203,"Male",48,"Non-Hispanic White","High school graduate/GED or equivalent",98234.565093,97755.036794,1,131
86204,"Male",5,"Non-Hispanic White",NA,33672.867987,38737.819821,1,124
86205,"Male",25,"Non-Hispanic White","Some college or AA degree",102303.14858,122877.929669,1,120
86206,"Male",3,"Non-Hispanic Black",NA,11902.769989,13258.092342,1,132
86207,"Female",16,"Other Hispanic",NA,14178.563397,14419.596189,1,119
86208,"Male",53,"Non-Hispanic White","College graduate or above",138464.477535,166220.401138,2,121
86209,"Male",31,"Other Hispanic","College graduate or above",22491.003362,24121.614715,1,124
86210,"Female",47,"Non-Hispanic Black","High school graduate/GED or equivalent",25101.004083,26591.832371,1,132
86211,"Female",3,"Non-Hispanic Black",NA,10641.661216,11778.000762,1,119
86212,"Female",32,"Mexican American","High school graduate/GED or equivalent",31115.352179,32227.312427,1,124
86213,"Male",39,"Other Race - Including Multi-Racial","Less than 9th grade",18759.82446,18863.227493,2,122
86214,"Female",80,"Other Hispanic","Less than 9th grade",11085.152311,10745.266811,1,127
86215,"Male",63,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",155950.596027,154467.369354,2,130
86216,"Female",9,"Other Race - Including Multi-Racial",NA,15846.900001,0,2,129
86217,"Female",9,"Mexican American",NA,12801.253615,0,1,133
86218,"Female",25,"Non-Hispanic White","High school graduate/GED or equivalent",66562.669128,66697.572076,2,132
86219,"Female",60,"Other Race - Including Multi-Racial","Some college or AA degree",18207.239069,24672.804618,1,133
86220,"Male",38,"Non-Hispanic Black","Some college or AA degree",18138.468916,19152.353841,2,131
86221,"Female",57,"Other Hispanic","Less than 9th grade",16635.967523,17097.808681,1,125
86222,"Male",1,"Non-Hispanic White",NA,15865.600555,15994.356483,1,130
86223,"Female",77,"Other Hispanic","Less than 9th grade",15638.839106,17359.263295,2,127
86224,"Female",13,"Non-Hispanic White",NA,26033.004374,27009.04143,1,130
86225,"Male",80,"Non-Hispanic White","College graduate or above",34769.239129,37779.516659,1,130
86226,"Female",23,"Non-Hispanic White","Some college or AA degree",82754.857302,83562.22371,1,132
86227,"Female",70,"Non-Hispanic Black","Some college or AA degree",16427.803101,16410.133822,1,123
86228,"Male",6,"Non-Hispanic Black",NA,8128.625673,8370.866197,2,126
86229,"Female",15,"Other Race - Including Multi-Racial",NA,17123.017925,19313.863439,2,123
86230,"Male",1,"Mexican American",NA,13539.817835,14093.464398,1,129
86231,"Male",50,"Non-Hispanic Black","Some college or AA degree",25051.961444,24650.462042,1,129
86232,"Female",13,"Mexican American",NA,13680.766365,13687.845906,2,131
86233,"Male",45,"Non-Hispanic White","College graduate or above",156064.967711,0,2,130
86234,"Male",10,"Non-Hispanic Black",NA,10890.852067,11188.234449,2,126
86235,"Female",2,"Non-Hispanic White",NA,19446.05429,19331.312059,1,122
86236,"Male",34,"Non-Hispanic Black","College graduate or above",23071.506513,24361.13315,2,132
86237,"Male",80,"Other Hispanic","Some college or AA degree",11308.97764,11400.745908,1,128
86238,"Female",45,"Non-Hispanic Black","College graduate or above",18115.080905,18153.974966,2,131
86239,"Female",57,"Non-Hispanic White","High school graduate/GED or equivalent",44583.936281,56461.22314,1,125
86240,"Male",4,"Mexican American",NA,16505.060092,17023.196137,1,121
86241,"Female",73,"Non-Hispanic Black","College graduate or above",16995.284577,16977.004931,1,125
86242,"Female",62,"Other Hispanic","High school graduate/GED or equivalent",9845.729657,9585.755282,1,123
86243,"Male",62,"Non-Hispanic Black","Some college or AA degree",12669.864135,12590.267329,2,125
86244,"Female",80,"Other Hispanic","College graduate or above",9293.564054,9494.338098,1,124
86245,"Female",47,"Non-Hispanic White","High school graduate/GED or equivalent",22206.400376,22260.333221,1,123
86246,"Male",33,"Other Race - Including Multi-Racial","College graduate or above",26047.035412,27020.310702,1,126
86247,"Female",78,"Non-Hispanic White","Some college or AA degree",82150.781979,86475.735523,1,130
86248,"Female",7,"Non-Hispanic Black",NA,9871.384668,9875.921047,1,129
86249,"Female",24,"Other Race - Including Multi-Racial","Less than 9th grade",60009.707144,60595.169112,2,130
86250,"Female",5,"Other Race - Including Multi-Racial",NA,12881.166163,12972.978167,1,122
86251,"Male",5,"Mexican American",NA,13762.435638,14194.473687,1,126
86252,"Male",16,"Non-Hispanic White",NA,51617.656126,52790.062749,2,123
86253,"Male",2,"Other Hispanic",NA,11664.042915,13739.858881,1,126
86254,"Male",12,"Other Race - Including Multi-Racial",NA,13064.433029,12603.182136,2,128
86255,"Female",74,"Mexican American","Less than 9th grade",11252.311968,12490.175569,1,128
86256,"Female",10,"Mexican American",NA,13474.795976,13334.025583,2,130
86257,"Female",8,"Non-Hispanic White",NA,61510.342387,60381.449024,1,130
86258,"Female",80,"Non-Hispanic White","High school graduate/GED or equivalent",49050.060431,52126.766231,2,132
86259,"Female",43,"Non-Hispanic White","College graduate or above",101813.270541,101232.29798,2,121
86260,"Female",26,"Non-Hispanic White","High school graduate/GED or equivalent",55109.144427,55769.61901,1,120
86261,"Male",24,"Non-Hispanic White","High school graduate/GED or equivalent",78185.281664,83866.766993,1,131
86262,"Female",31,"Non-Hispanic Black","College graduate or above",38424.914758,38497.998822,2,127
86263,"Male",3,"Other Hispanic",NA,17680.168815,19595.060011,1,123
86264,"Male",11,"Non-Hispanic White",NA,34604.434802,34368.81282,1,131
86265,"Male",57,"Mexican American","Less than 9th grade",14342.702091,0,1,123
86266,"Male",0,"Mexican American",NA,7399.732266,7246.403468,1,122
86267,"Female",55,"Non-Hispanic Black","High school graduate/GED or equivalent",20578.363159,0,1,125
86268,"Female",57,"Other Hispanic","Some college or AA degree",15940.753189,16198.916391,1,124
86269,"Female",9,"Non-Hispanic Black",NA,10952.699481,10931.182099,2,119
86270,"Male",6,"Non-Hispanic Black",NA,10863.770854,0,2,126
86271,"Female",55,"Other Race - Including Multi-Racial","College graduate or above",21156.61136,24136.31977,2,128
86272,"Female",22,"Non-Hispanic Black","Some college or AA degree",26774.129986,27106.617987,2,131
86273,"Female",73,"Non-Hispanic Black","Some college or AA degree",17309.35911,16901.948131,2,131
86274,"Male",11,"Mexican American",NA,13502.718949,13808.395288,1,120
86275,"Male",20,"Non-Hispanic Black","Some college or AA degree",49593.637394,49590.821804,1,129
86276,"Male",68,"Mexican American","Some college or AA degree",9806.709122,9630.94732,1,127
